1,2,3,4,5
0.6243578213,-0.007693991769,0.1575104805,0.4405542578,0.1574231999
-0.06509793548,-7.90E-04,0.2719338617,0.2248536177,0.1588833901
-0.08652464194,-0.280987662,-0.02569884393,0.2639201617,0.4210172706
-0.5817433189,-0.2756396032,-0.2903204965,-0.2139670178,0.4978566632
0.1706059111,1.020045024,-0.5836331489,0.8876441885,0.1056414753
0.1670677008,0.1429368983,0.4458933926,0.3341416681,0.2699395075
-0.07455153882,0.4174091808,-0.03084217717,0.5326730111,0.2859661436
-0.2671592237,0.3876648052,0.6015065107,0.2694248413,0.8284779306
0.2085225752,0.04111597329,-0.04794736333,0.6463396317,0.4810624699
0.1934351759,-0.1647957278,0.1642829648,0.4696177228,0.08726949048
-0.2273434227,-0.5582306542,0.03358309972,0.3821549883,0.2012291843
0.09931565885,-0.2159634079,-0.03164455634,0.5881819563,0.4201165133
0.1014795539,-0.206791013,0.3021867454,0.4715938785,0.119931849
-0.09596401324,-0.02633640877,0.68074745,0.1362721478,0.4010858635
0.2221395781,-0.8388792632,0.1087827241,-0.150949829,0.5054420078
0.06812069088,-0.09874732713,0.445380827,0.2841486309,0.1996483761
-0.4713143089,-0.1569844796,-0.08115289453,0.4218678547,0.4944349272
-0.09082078836,0.1718011439,0.185968736,0.746037801,0.4460572782
0.01830065566,0.1012969698,-0.3272354722,0.1694282314,0.203062898
-0.1623618327,0.2655209553,-0.03216154256,0.0385932425,0.841661288
0.03278554256,0.2153591217,0.109980221,0.2774976863,0.3352194271
0.3291284363,0.004721407947,0.02078475756,0.3640863062,-0.07474122592
-0.3007006016,0.2845940906,0.2457361262,0.60161163,0.5292693623
-0.002663778735,-0.007400243088,0.0387077739,0.653200398,0.08861461163
-0.3389215618,0.07064808979,0.5665402389,0.3595709678,0.529042476
4.035109919,1.429979229,1.206476617,0.8956254662,1.371308252
3.575800817,1.279386033,1.284516383,1.542057215,1.533230031
4.124996653,1.293590488,1.262893754,1.499385709,1.774558821
3.88817151,0.9593895426,1.293195143,1.976258134,1.709151426
4.269988097,0.7226512482,1.339849656,1.064676536,1.647730927
3.918250172,1.108785084,0.7504780261,1.224339864,1.316194643
4.538942496,0.8417517338,1.308068794,0.8596850856,1.465584602
4.405666586,1.130193066,1.638701802,1.557694873,1.313803569
3.931858039,1.156902059,1.218496776,1.934229007,1.215563073
3.946310242,1.204723816,1.441525616,1.007500184,1.409097638
4.132791568,1.225873415,1.864797083,1.173182023,1.413868084
4.509141873,0.04880364437,1.649894365,1.379905475,1.52491538
4.008117465,1.011620501,1.298180548,1.533241197,2.011363004
3.991467666,1.327150229,1.065796555,1.778076346,1.579706328
3.923610503,1.382157748,1.736685308,1.657777956,1.099453234
4.264543213,1.011443994,0.9404001313,1.605571025,1.558230685
4.458810876,0.9878968479,1.119465483,1.484372689,1.802402761
3.923976868,1.610888115,1.950884512,1.947632448,1.775950661
4.382140842,0.9967738549,1.6341599,1.189908565,1.895756106
4.034687662,0.7365753104,1.314854905,1.09573673,1.921352551
3.827743683,1.417780801,1.597009966,0.9643243383,1.507874172
4.423784695,1.467540231,1.932733595,0.6090769995,1.342337914
4.327651931,1.213079699,0.8954950979,1.442673528,1.522209937
4.21561392,1.125412922,1.06431197,1.265843825,1.780634126
3.955278616,1.226090776,0.8401115856,1.109089893,1.228876822
-4.947334127,-2.682087784,-1.918525634,-1.615225958,-1.659591179
-4.473201578,-1.776984672,-1.303831103,-1.335990833,-1.310091589
